"Refs","Value","Footprint","Qty","DNP"
"BT1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"BZ1","Buzzer","","1",""
"C1","C","","1",""
"C2","C","","1",""
"C3","C","","1",""
"D1","LED","","1",""
"D2","D_Schottky_Small","","1",""
"D3","D_Schottky_Small","","1",""
"J1","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J2","GDEY0213B74","","1",""
"J3","USB_C_Receptacle_PowerOnly_6P","","1",""
"JDBG?","Conn_02x06_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","1",""
"L1","L","Inductor_SMD:L_0603_1608Metric","1",""
"Q1","Q_PMOS_GSD","Package_TO_SOT_SMD:SOT-23","1",""
"Q2","Q_NMOS_GSD","Package_TO_SOT_SMD:SOT-23","1",""
"R1","R","","1",""
"R2","R","","1",""
"R3","R","","1",""
"R4","R","","1",""
"R5","R","","1",""
"R6","R","","1",""
"SW1","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","1",""
"U1","RAK3172","RF_Module:RAK3172","1",""
"U2","HX711","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
"U3","TPS61220DCK","Package_TO_SOT_SMD:SC-70-6_1.6x1.5mm_P0.5mm","1",""
"U4","MIC5504-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","1",""
